"wiek"	"naukaLata"	"edukacja"	"plec"	"wiaraZyciePo"	"szczescie"	"jakieZycie"	"fortunaEndPraca"	"gazetyCzesto"	"ogladaTVGodz"	"korzystaWWW"	"zodiak"	"dochod"	"ileGodzPracuje"
39	13	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Nudne"	"Tak"	"Codziennie"	4	"Tak"	"Bliznieta"	"$35000 TO 39999"	7
36	12	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Tak"	"Panna"	"$40000 TO 49999"	6
53	16	"Licencjat"	"Kobieta"	"Nie"	"Nieszczesliwy"	"Nudne"	"Nie"	"Raz w tygodniu"	0	"Nie"	"Waga"	"$7 000 TO 7 999"	9
70	10	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Rutynowe"	"Nie"	NA	NA	"Nie"	"Bliznieta"	"$20000 TO 22499"	1
38	16	"Licencjat"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Tak"	"Codziennie"	1	"Tak"	"Rak"	"$75000 TO $89999"	10
80	16	"Licencjat"	"Kobieta"	"Nie"	"Nieszczesliwy"	"Rutynowe"	NA	NA	NA	"Nie"	"Baran"	NA	0
46	9	"Szkola zawodowa"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Nie"	NA	NA	"Nie"	"Baran"	"$50000 TO 59999"	0
71	12	"Szkola srednia"	"Kobieta"	"Nie"	"Bardzo szczesliwy"	"Rutynowe"	NA	NA	NA	"Nie"	"Strzelec"	"$22500 TO 24999"	3
64	14	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	NA	"Kilka razy w tygodniu"	4	"Nie"	"Bliznieta"	"$22500 TO 24999"	8
76	8	"Szkola zawodowa"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Rutynowe"	NA	"Codziennie"	1	"Nie"	"Wodnik"	"$8 000 TO 9 999"	2
46	18	"Magisterium"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Tak"	"Wodnik"	"$30000 TO 34999"	6
50	14	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	"Codziennie"	2	"Nie"	"Panna"	"$10000 TO 12499"	12
70	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Nie"	"Baran"	NA	3
46	9	"Szkola zawodowa"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Rutynowe"	"Nie"	NA	NA	"Nie"	"Wodnik"	"$10000 TO 12499"	0
33	9	"Szkola zawodowa"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Nie"	"Bliznieta"	"$30000 TO 34999"	5
59	12	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Rutynowe"	"Tak"	NA	NA	"Tak"	"Waga"	"$40000 TO 49999"	4
21	14	"Policealna"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	"Codziennie"	1	"Tak"	"Bliznieta"	NA	12
38	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	NA	NA	NA	"Nie"	"Byk"	"$30000 TO 34999"	1
27	12	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Tak"	"Kilka razy w tygodniu"	2	"Tak"	"Panna"	"$22500 TO 24999"	10
31	11	"Szkola zawodowa"	"Kobieta"	"Nie"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Tak"	"Baran"	"$30000 TO 34999"	2
37	12	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	"Nigdy"	2	"Nie"	"Bliznieta"	"$30000 TO 34999"	11
67	14	"Policealna"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	NA	NA	NA	"Tak"	"Waga"	"$110000 OR OVER"	2
30	11	"Szkola srednia"	"Kobieta"	"Nie"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	"Nigdy"	3	"Nie"	"Panna"	"$30000 TO 34999"	7
57	14	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	NA	"Nigdy"	5	"Nie"	"Wodnik"	"$10000 TO 12499"	7
33	14	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Kilka razy w tygodniu"	4	"Nie"	"Panna"	"$22500 TO 24999"	8
41	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Tak"	"Raz w tygodniu"	3	"Tak"	"Bliznieta"	"$50000 TO 59999"	7
41	15	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Tak"	NA	NA	"Tak"	"Rak"	NA	4
51	15	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	NA	NA	"Kilka razy w tygodniu"	1	"Tak"	"Bliznieta"	"$60000 TO 74999"	10
69	8	"Szkola zawodowa"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	NA	NA	NA	"Tak"	"Byk"	"$60000 TO 74999"	3
34	8	"Szkola zawodowa"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Tak"	NA	NA	"Nie"	"Ryby"	"$5 000 TO 5 999"	6
46	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Tak"	"Mniej niz raz w tygodniu"	1	"Tak"	"Strzelec"	"$20000 TO 22499"	10
28	13	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Tak"	NA	NA	"Tak"	"Baran"	"$50000 TO 59999"	0
52	13	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Tak"	"Raz w tygodniu"	2	"Nie"	"Rak"	"$50000 TO 59999"	12
48	20	"Magisterium"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	"Kilka razy w tygodniu"	1	"Tak"	"Skorpion"	"$110000 OR OVER"	12
19	11	"Szkola zawodowa"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	NA	NA	"Kilka razy w tygodniu"	3	"Tak"	"Panna"	"$30000 TO 34999"	6
52	12	"Szkola srednia"	"Kobieta"	"Tak"	"Nieszczesliwy"	"Rutynowe"	"Tak"	"Raz w tygodniu"	3	"Tak"	"Lew"	"$10000 TO 12499"	7
49	12	"Szkola srednia"	"Kobieta"	"Nie"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	"Codziennie"	4	"Nie"	"Rak"	"$30000 TO 34999"	7
74	6	"Szkola zawodowa"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Rutynowe"	"Nie"	NA	NA	"Nie"	"Strzelec"	"$12500 TO 14999"	2
26	12	"Szkola srednia"	"Kobieta"	"Nie"	"Nieszczesliwy"	"Nudne"	"Nie"	"Raz w tygodniu"	2	"Tak"	"Waga"	"$12500 TO 14999"	13
28	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Nie"	"Bliznieta"	"$50000 TO 59999"	4
22	11	"Szkola zawodowa"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	"Raz w tygodniu"	3	"Nie"	"Byk"	"$50000 TO 59999"	8
31	15	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	NA	NA	"Kilka razy w tygodniu"	2	"Tak"	"Lew"	"$35000 TO 39999"	12
43	12	"Szkola srednia"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Rutynowe"	"Nie"	NA	NA	"Nie"	"Panna"	"$40000 TO 49999"	8
47	12	"Szkola srednia"	"Kobieta"	"Tak"	"Nieszczesliwy"	"Nudne"	"Nie"	"Kilka razy w tygodniu"	5	"Tak"	"Ryby"	"$30000 TO 34999"	8
36	8	"Szkola zawodowa"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Nie"	"Byk"	"$30000 TO 34999"	4
26	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Nigdy"	1	"Nie"	"Byk"	"$60000 TO 74999"	10
25	14	"Szkola srednia"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	"Kilka razy w tygodniu"	6	"Tak"	"Rak"	"$12500 TO 14999"	4
81	5	"Szkola zawodowa"	"Kobieta"	"Nie"	"Dosc szczesliwy"	NA	NA	"Nigdy"	3	"Nie"	"Wodnik"	NA	0
62	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Tak"	NA	NA	"Tak"	"Baran"	"$60000 TO 74999"	1
21	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Nie"	"Codziennie"	20	"Tak"	"Koziorozec"	"$20000 TO 22499"	0
75	18	"Magisterium"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	NA	NA	NA	"Tak"	"Waga"	"$50000 TO 59999"	3
48	12	"Szkola srednia"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Rutynowe"	"Nie"	"Codziennie"	1	"Tak"	"Bliznieta"	"$90000 - $109999"	10
31	14	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	"Mniej niz raz w tygodniu"	1	"Tak"	"Bliznieta"	"$60000 TO 74999"	9
22	13	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Tak"	"Strzelec"	"$12500 TO 14999"	3
26	12	"Szkola srednia"	"Kobieta"	"Tak"	"Nieszczesliwy"	"Nudne"	"Nie"	"Kilka razy w tygodniu"	1	"Tak"	"Bliznieta"	"$25000 TO 29999"	12
23	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Tak"	"Byk"	"$40000 TO 49999"	11
68	12	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	NA	"Codziennie"	4	"Nie"	"Wodnik"	"$20000 TO 22499"	3
48	14	"Policealna"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Codziennie"	1	"Tak"	"Skorpion"	"$110000 OR OVER"	8
20	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	NA	"Kilka razy w tygodniu"	2	"Tak"	"Strzelec"	"$90000 - $109999"	10
40	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Kilka razy w tygodniu"	2	"Nie"	"Koziorozec"	"$50000 TO 59999"	12
27	12	"Szkola srednia"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Rutynowe"	"Tak"	NA	NA	"Tak"	"Waga"	"$30000 TO 34999"	1
30	13	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Tak"	NA	NA	"Tak"	"Byk"	"$22500 TO 24999"	4
24	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Nie"	"Codziennie"	1	"Tak"	"Ryby"	"$35000 TO 39999"	10
50	16	"Licencjat"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Mniej niz raz w tygodniu"	4	"Tak"	"Wodnik"	NA	6
41	14	"Policealna"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Nie"	NA	NA	"Nie"	"Wodnik"	"$50000 TO 59999"	0
39	11	"Szkola zawodowa"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	NA	NA	NA	"Nie"	"Baran"	"$17500 TO 19999"	0
51	10	"Szkola zawodowa"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Rutynowe"	"Nie"	NA	NA	"Nie"	"Lew"	"$8 000 TO 9 999"	11
69	16	"Licencjat"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	"Codziennie"	1	"Nie"	"Strzelec"	"$110000 OR OVER"	2
45	14	"Policealna"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Tak"	"Waga"	"$110000 OR OVER"	3
69	9	"Szkola zawodowa"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Mniej niz raz w tygodniu"	4	"Nie"	"Waga"	"$25000 TO 29999"	3
53	19	"Magisterium"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Tak"	NA	NA	"Tak"	"Rak"	"$110000 OR OVER"	4
51	15	"Szkola srednia"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Rutynowe"	"Nie"	"Codziennie"	4	"Tak"	"Strzelec"	"$40000 TO 49999"	7
25	11	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	"Raz w tygodniu"	4	"Nie"	"Skorpion"	"$30000 TO 34999"	7
25	11	"Szkola zawodowa"	"Kobieta"	"Nie"	"Bardzo szczesliwy"	"Ekscytujace"	"Tak"	"Raz w tygodniu"	4	"Nie"	"Ryby"	"$50000 TO 59999"	6
36	12	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	"Kilka razy w tygodniu"	5	"Nie"	"Panna"	"$10000 TO 12499"	8
65	13	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Rutynowe"	"Tak"	NA	NA	"Nie"	"Lew"	"$60000 TO 74999"	3
58	20	"Magisterium"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	NA	NA	NA	"Tak"	"Panna"	"$50000 TO 59999"	4
29	14	"Policealna"	"Kobieta"	"Nie"	"Dosc szczesliwy"	NA	NA	"Mniej niz raz w tygodniu"	1	"Tak"	"Koziorozec"	"$50000 TO 59999"	8
66	18	"Policealna"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	NA	"Codziennie"	7	"Tak"	"Rak"	NA	3
73	16	"Licencjat"	"Kobieta"	"Nie"	"Bardzo szczesliwy"	"Ekscytujace"	NA	NA	NA	"Tak"	"Koziorozec"	NA	2
78	16	"Licencjat"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	NA	NA	NA	"Tak"	"Ryby"	"$40000 TO 49999"	6
59	15	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Tak"	"Nigdy"	5	"Nie"	"Koziorozec"	"$10000 TO 12499"	6
19	11	"Szkola zawodowa"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	NA	"Kilka razy w tygodniu"	1	"Tak"	"Skorpion"	"$22500 TO 24999"	13
47	18	"Magisterium"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Tak"	"Koziorozec"	"$90000 - $109999"	0
37	12	"Szkola srednia"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Rutynowe"	NA	"Nigdy"	8	"Nie"	"Strzelec"	"$22500 TO 24999"	6
56	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Tak"	"Nigdy"	5	"Nie"	"Baran"	"$20000 TO 22499"	8
37	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Kilka razy w tygodniu"	6	"Nie"	"Strzelec"	"$4 000 TO 4 999"	5
24	16	"Licencjat"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	"Kilka razy w tygodniu"	2	"Tak"	"Lew"	"$25000 TO 29999"	11
33	10	"Szkola zawodowa"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Nigdy"	24	"Nie"	"Waga"	"$12500 TO 14999"	0
50	12	"Szkola srednia"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Rutynowe"	"Tak"	NA	NA	"Nie"	"Waga"	"$75000 TO $89999"	3
67	19	"Magisterium"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	NA	"Codziennie"	5	"Nie"	"Lew"	"$30000 TO 34999"	1
33	9	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Raz w tygodniu"	3	"Tak"	"Rak"	"$60000 TO 74999"	7
56	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Codziennie"	2	"Tak"	"Byk"	"$25000 TO 29999"	9
87	12	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Rutynowe"	NA	NA	NA	"Nie"	"Skorpion"	"$22500 TO 24999"	0
36	15	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	"Codziennie"	11	"Tak"	"Lew"	"$110000 OR OVER"	2
52	12	"Szkola srednia"	"Kobieta"	"Nie"	"Nieszczesliwy"	NA	NA	"Codziennie"	11	"Tak"	"Panna"	"$7 000 TO 7 999"	3
24	12	"Szkola srednia"	"Kobieta"	"Nie"	"Nieszczesliwy"	NA	NA	"Raz w tygodniu"	2	"Tak"	"Baran"	"$90000 - $109999"	9
33	14	"Szkola srednia"	"Kobieta"	"Tak"	"Nieszczesliwy"	"Rutynowe"	"Tak"	NA	NA	"Tak"	"Bliznieta"	"$15000 TO 17499"	11
37	13	"Policealna"	"Kobieta"	"Nie"	"Bardzo szczesliwy"	"Ekscytujace"	"Tak"	"Codziennie"	1	"Tak"	"Strzelec"	"$75000 TO $89999"	12
21	13	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	NA	"Codziennie"	3	"Tak"	"Panna"	"$110000 OR OVER"	7
34	14	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	"Mniej niz raz w tygodniu"	2	"Tak"	"Rak"	"$50000 TO 59999"	8
50	2	"Szkola zawodowa"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	"Codziennie"	3	"Tak"	"Baran"	"$50000 TO 59999"	6
36	18	"Licencjat"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Mniej niz raz w tygodniu"	1	"Tak"	"Skorpion"	"$90000 - $109999"	9
38	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Nie"	"Kilka razy w tygodniu"	4	"Tak"	"Waga"	"$60000 TO 74999"	7
47	16	"Licencjat"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	NA	NA	"Codziennie"	3	"Tak"	"Panna"	"$90000 - $109999"	6
42	16	"Licencjat"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Tak"	"Ryby"	NA	9
34	15	"Szkola srednia"	"Kobieta"	"Nie"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	"Codziennie"	1	"Tak"	"Ryby"	NA	13
59	10	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Codziennie"	5	"Tak"	"Byk"	"$30000 TO 34999"	8
26	15	"Policealna"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Tak"	"Ryby"	"$40000 TO 49999"	10
31	18	"Magisterium"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Nie"	"Kilka razy w tygodniu"	3	"Tak"	"Bliznieta"	"$75000 TO $89999"	7
52	14	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Mniej niz raz w tygodniu"	0	"Tak"	"Lew"	"$5 000 TO 5 999"	11
31	9	"Szkola zawodowa"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Mniej niz raz w tygodniu"	3	"Nie"	"Wodnik"	"$15000 TO 17499"	8
50	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Tak"	NA	NA	"Tak"	"Byk"	"$60000 TO 74999"	10
27	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Tak"	"Kilka razy w tygodniu"	3	"Nie"	"Skorpion"	"$25000 TO 29999"	6
25	17	"Licencjat"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Tak"	"Codziennie"	2	"Tak"	"Bliznieta"	"$110000 OR OVER"	10
23	11	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Nie"	NA	NA	"Nie"	"Wodnik"	"$35000 TO 39999"	11
39	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Mniej niz raz w tygodniu"	4	"Nie"	"Wodnik"	"$20000 TO 22499"	8
46	14	"Policealna"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Nie"	NA	NA	"Tak"	"Byk"	"$35000 TO 39999"	11
67	11	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Nie"	"Wodnik"	"$90000 - $109999"	1
23	12	"Szkola srednia"	"Kobieta"	"Nie"	"Dosc szczesliwy"	NA	NA	"Codziennie"	2	"Tak"	"Byk"	"$50000 TO 59999"	8
63	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	NA	NA	NA	"Tak"	"Ryby"	"$75000 TO $89999"	11
47	10	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Rutynowe"	"Tak"	"Kilka razy w tygodniu"	3	"Nie"	"Ryby"	"$75000 TO $89999"	8
25	11	"Szkola zawodowa"	"Kobieta"	"Tak"	"Nieszczesliwy"	"Nudne"	"Nie"	"Raz w tygodniu"	1	"Tak"	"Bliznieta"	"$75000 TO $89999"	13
48	14	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Kilka razy w tygodniu"	5	"Nie"	"Lew"	"$35000 TO 39999"	8
52	17	"Licencjat"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Tak"	"Skorpion"	"$20000 TO 22499"	8
52	8	"Szkola zawodowa"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	NA	NA	NA	"Nie"	"Baran"	"$5 000 TO 5 999"	9
69	19	"Magisterium"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	NA	"Kilka razy w tygodniu"	1	"Nie"	"Lew"	"$50000 TO 59999"	1
61	12	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Rutynowe"	"Tak"	NA	NA	"Nie"	"Rak"	"$40000 TO 49999"	5
48	12	"Szkola srednia"	"Kobieta"	"Nie"	"Dosc szczesliwy"	NA	NA	"Kilka razy w tygodniu"	3	"Nie"	"Wodnik"	"$8 000 TO 9 999"	8
52	7	"Szkola zawodowa"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Tak"	NA	NA	"Nie"	"Baran"	"$8 000 TO 9 999"	6
25	12	"Szkola srednia"	"Kobieta"	"Nie"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	"Nigdy"	2	"Tak"	"Lew"	"$15000 TO 17499"	9
28	20	"Magisterium"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	"Codziennie"	2	"Tak"	"Wodnik"	"$110000 OR OVER"	12
52	16	"Licencjat"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Tak"	"Panna"	"$110000 OR OVER"	3
40	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Nigdy"	2	"Tak"	"Strzelec"	"$40000 TO 49999"	12
55	14	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	NA	NA	NA	"Nie"	"Waga"	"$17500 TO 19999"	0
72	20	"Magisterium"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	NA	NA	"Codziennie"	2	"Tak"	"Strzelec"	"$75000 TO $89999"	3
41	14	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Tak"	"Codziennie"	2	"Tak"	"Waga"	"$50000 TO 59999"	13
80	14	"Szkola srednia"	"Kobieta"	"Nie"	"Bardzo szczesliwy"	NA	NA	"Codziennie"	4	"Nie"	"Koziorozec"	NA	0
49	13	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	NA	NA	"Mniej niz raz w tygodniu"	5	"Tak"	"Bliznieta"	"$75000 TO $89999"	7
43	16	"Licencjat"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Rutynowe"	"Nie"	"Codziennie"	3	"Tak"	"Rak"	"$40000 TO 49999"	6
23	11	"Szkola zawodowa"	"Kobieta"	"Tak"	"Nieszczesliwy"	"Nudne"	NA	"Raz w tygodniu"	5	"Nie"	"Waga"	NA	6
21	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Tak"	NA	NA	"Tak"	"Bliznieta"	"$30000 TO 34999"	11
42	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Nie"	"Codziennie"	3	"Tak"	"Panna"	"$17500 TO 19999"	7
35	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Tak"	NA	NA	"Nie"	"Skorpion"	"$40000 TO 49999"	11
56	14	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Tak"	"Mniej niz raz w tygodniu"	1	"Nie"	"Strzelec"	"$90000 - $109999"	11
25	14	"Szkola srednia"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	"Kilka razy w tygodniu"	2	"Tak"	"Koziorozec"	"$60000 TO 74999"	12
32	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Codziennie"	5	"Nie"	"Rak"	"$35000 TO 39999"	6
39	12	"Szkola srednia"	"Kobieta"	"Nie"	"Dosc szczesliwy"	NA	NA	NA	NA	"Tak"	"Koziorozec"	"$30000 TO 34999"	11
24	12	"Szkola srednia"	"Kobieta"	"Tak"	"Nieszczesliwy"	NA	"Tak"	NA	NA	"Nie"	"Waga"	"$30000 TO 34999"	9
25	19	"Magisterium"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Codziennie"	0	"Tak"	"Bliznieta"	NA	9
73	19	"Licencjat"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	"Codziennie"	1	"Tak"	"Skorpion"	"$110000 OR OVER"	1
27	16	"Licencjat"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Codziennie"	2	"Tak"	"Baran"	"$50000 TO 59999"	12
