"wiek"	"naukaLata"	"edukacja"	"plec"	"wiaraZyciePo"	"szczescie"	"jakieZycie"	"fortunaEndPraca"	"gazetyCzesto"	"ogladaTVGodz"	"korzystaWWW"	"zodiak"	"dochod"	"ileGodzPracuje"
63	16	"Licencjat"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Tak"	NA	NA	"Nie"	"Byk"	"$75000 TO $89999"	11
30	14	"Policealna"	"Kobieta"	"Tak"	"Nieszczesliwy"	"Ekscytujace"	"Nie"	"Kilka razy w tygodniu"	1	"Tak"	"Waga"	"$75000 TO $89999"	12
45	14	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Tak"	"Codziennie"	4	"Tak"	NA	"$40000 TO 49999"	7
22	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	NA	"Kilka razy w tygodniu"	8	"Tak"	"Panna"	"$25000 TO 29999"	6
24	11	"Szkola zawodowa"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	NA	"Mniej niz raz w tygodniu"	3	"Nie"	"Skorpion"	"$12500 TO 14999"	8
57	14	"Policealna"	"Kobieta"	"Tak"	"Nieszczesliwy"	NA	NA	"Mniej niz raz w tygodniu"	6	"Tak"	"Ryby"	"$40000 TO 49999"	4
35	10	"Szkola srednia"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Rutynowe"	"Nie"	NA	NA	"Nie"	"Wodnik"	"$10000 TO 12499"	11
37	16	"Licencjat"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	"Codziennie"	2	"Tak"	"Koziorozec"	"$110000 OR OVER"	8
40	12	"Szkola zawodowa"	"Kobieta"	"Tak"	"Nieszczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Nie"	"Baran"	"$30000 TO 34999"	9
57	14	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	"Kilka razy w tygodniu"	4	"Nie"	"Strzelec"	"$110000 OR OVER"	7
89	2	"Szkola zawodowa"	"Kobieta"	"Nie"	"Bardzo szczesliwy"	"Ekscytujace"	NA	NA	NA	"Nie"	"Wodnik"	"$25000 TO 29999"	0
25	12	"Szkola srednia"	"Kobieta"	"Nie"	"Dosc szczesliwy"	NA	NA	"Kilka razy w tygodniu"	1	"Nie"	"Baran"	"$50000 TO 59999"	12
32	13	"Szkola srednia"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Rutynowe"	"Nie"	NA	NA	"Tak"	"Koziorozec"	"$110000 OR OVER"	5
23	14	"Policealna"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Mniej niz raz w tygodniu"	6	"Tak"	"Waga"	"$50000 TO 59999"	5
24	11	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	"Kilka razy w tygodniu"	3	"Tak"	"Bliznieta"	"$50000 TO 59999"	7
