"IDOferty","CenaPLN","KM","Marka","Model","LiczbaDrzwi","PojemnoscSkokowa","PrzebiegKm","RodzajPaliwa","RokProdukcji","Kolor","KrajPochodzenia","PojazdUszkodzony","SkrzyniaBiegow"
6516,167900,200,"Audi","TT","2/3",1984,8922,"benzyna",2010,"granatowy-metallic","Niemcy","Nie","automatyczna"
6517,158900,170,"Audi","TT","2/3",1968,6217,"olej napędowy (diesel)",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6518,157900,170,"Audi","TT","2/3",1968,8500,"olej napędowy (diesel)",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6519,153900,200,"Audi","TT","2/3",1984,8529,"benzyna",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6520,153900,200,"Audi","TT","2/3",1984,8447,"benzyna",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6521,151900,200,"Audi","TT","2/3",1984,8529,"benzyna",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6522,143900,200,"Audi","TT","2/3",1984,9678,"benzyna",2010,"granatowy-metallic","Niemcy","Nie","manualna"
6523,139900,200,"Audi","TT","2/3",1984,6022,"benzyna",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6524,137900,160,"Audi","TT","2/3",1798,8960,"benzyna",2010,"szary-metallic","Niemcy","Nie","manualna"
6525,132900,160,"Audi","TT","2/3",1798,7348,"benzyna",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6526,132900,160,"Audi","TT","2/3",1798,9931,"benzyna",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6527,132900,160,"Audi","TT","2/3",1798,7915,"benzyna",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6528,306900,353,"Audi","S5","2/3",4163,16030,"benzyna",2010,"czarny-metallic","Niemcy","Nie","automatyczna"
6529,206900,353,"Audi","S5","2/3",4163,45350,"benzyna",2008,"bialy","Niemcy","Nie","manualna"
6530,249900,333,"Audi","S4","4/5",2995,12928,"benzyna",2010,"szary-metallic","Niemcy","Nie","manualna"
6531,525000,580,"Audi","RS6","4/5",4991,23695,"benzyna",2010,"szary","Niemcy","Nie","automatyczna"
6532,469900,580,"Audi","RS6","4/5",4991,29989,"benzyna",2009,"czarny-metallic","Niemcy","Nie","automatyczna"
6533,679900,525,"Audi","R8","2/3",5204,11101,"benzyna",2010,"bialy-metallic","Niemcy","Nie","manualna"
6534,649900,525,"Audi","R8","2/3",5204,24728,"benzyna",2010,"czerwony-metallic","Niemcy","Nie","automatyczna"
6535,555777,500,"Audi","Q7","4/5",5934,13164,"olej napędowy (diesel)",2009,"bialy","Niemcy","Nie","automatyczna"
6536,454900,500,"Audi","Q7","4/5",5934,52359,"olej napędowy (diesel)",2009,"zielony-metallic","Niemcy","Nie","automatyczna"
6537,339900,240,"Audi","Q7","4/5",2967,19292,"olej napędowy (diesel)",2009,"srebrny-metallic","Niemcy","Nie","automatyczna"
6538,221900,326,"Audi","Q7","4/5",4134,84767,"olej napędowy (diesel)",2008,"szary-metallic","Niemcy","Nie","automatyczna"
6539,214900,240,"Audi","Q7","4/5",2967,86763,"olej napędowy (diesel)",2008,"szary-metallic","Niemcy","Nie","automatyczna"
6540,234900,233,"Audi","Q7","4/5",2967,68140,"olej napędowy (diesel)",2007,"czarny-metallic","Niemcy","Nie","automatyczna"
6541,209900,232,"Audi","Q7","4/5",2967,80000,"olej napędowy (diesel)",2007,"czarny-metallic","Niemcy","Nie","automatyczna"
6542,199900,233,"Audi","Q7","4/5",2967,84250,"olej napędowy (diesel)",2007,"niebieski-metallic","Niemcy","Nie","automatyczna"
6543,212900,170,"Audi","Q5","4/5",1968,27652,"olej napędowy (diesel)",2010,"szary-metallic","Niemcy","Nie","manualna"
6544,208900,170,"Audi","Q5","4/5",1968,23092,"olej napędowy (diesel)",2010,"czarny-metallic","Niemcy","Nie","manualna"
6545,259900,240,"Audi","Q5","4/5",2967,23355,"olej napędowy (diesel)",2009,"bezowy-metallic","Niemcy","Nie","automatyczna"
6546,16700,68,"Peugeot","107","2/3",998,98000,"benzyna",2007,"czerwony","Polska","Nie","manualna"
6547,459900,250,"Audi","A8","4/5",2967,15894,"olej napędowy (diesel)",2010,"bialy-metallic","Niemcy","Nie","automatyczna"
6548,419900,350,"Audi","A8","4/5",4134,99,"olej napędowy (diesel)",2010,"srebrny-metallic","Niemcy","Nie","automatyczna"
6549,279900,232,"Audi","A8","4/5",2967,19998,"olej napędowy (diesel)",2010,"niebieski-metallic","Niemcy","Nie","automatyczna"
6550,384900,372,"Audi","A8","4/5",4163,20998,"benzyna",2009,"czarny-metallic","Niemcy","Nie","automatyczna"
6551,354900,300,"Audi","A7","4/5",2995,3369,"benzyna",2010,"brazowy-metallic","Niemcy","Nie","automatyczna"
6552,254900,290,"Audi","A6","4/5",2995,23185,"benzyna",2010,"czarny-metallic","Niemcy","Nie","automatyczna"
6553,249900,240,"Audi","A6","4/5",2967,29990,"olej napędowy (diesel)",2010,"czarny-metallic","Niemcy","Nie","automatyczna"
6554,246900,290,"Audi","A6","4/5",2995,22942,"benzyna",2010,"szary-metallic","Niemcy","Nie","automatyczna"
6555,157900,170,"Audi","A6","4/5",1968,18242,"olej napędowy (diesel)",2010,"czarny","Niemcy","Nie","manualna"
6556,156900,170,"Audi","A6","4/5",1968,14908,"olej napędowy (diesel)",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6557,154900,170,"Audi","A6","4/5",1968,14980,"olej napędowy (diesel)",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6558,153900,170,"Audi","A6","4/5",1968,26970,"olej napędowy (diesel)",2010,"granatowy-metallic","Niemcy","Nie","automatyczna"
6559,149900,170,"Audi","A6","4/5",1984,17746,"benzyna",2010,"szary-metallic","Niemcy","Nie","automatyczna"
6560,144900,170,"Audi","A6","4/5",1968,19998,"olej napędowy (diesel)",2010,"czarny","Niemcy","Nie","manualna"
6561,143900,170,"Audi","A6","4/5",1968,26317,"olej napędowy (diesel)",2010,"srebrny-metallic","Niemcy","Nie","automatyczna"
6562,143900,170,"Audi","A6","4/5",1968,19999,"olej napędowy (diesel)",2010,"czarny","Niemcy","Nie","manualna"
6563,143900,170,"Audi","A6","4/5",1968,19998,"olej napędowy (diesel)",2010,"niebieski-metallic","Niemcy","Nie","manualna"
6564,142900,170,"Audi","A6","4/5",1984,23850,"benzyna",2010,"czarny-metallic","Niemcy","Nie","automatyczna"
6565,139900,170,"Audi","A6","4/5",1968,23820,"olej napędowy (diesel)",2010,"srebrny-metallic","Niemcy","Nie","automatyczna"
6566,139900,170,"Audi","A6","4/5",1968,18122,"olej napędowy (diesel)",2010,"czarny","Niemcy","Nie","manualna"
6567,139900,170,"Audi","A6","4/5",1968,14980,"olej napędowy (diesel)",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6568,136900,170,"Audi","A6","4/5",1984,19995,"benzyna",2010,"srebrny-metallic","Niemcy","Nie","automatyczna"
6569,131900,170,"Audi","A6","4/5",1968,26158,"olej napędowy (diesel)",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6570,126900,170,"Audi","A6","4/5",1984,25326,"benzyna",2010,"czarny","Niemcy","Nie","manualna"
6571,199900,190,"Audi","A6","4/5",2698,29977,"olej napędowy (diesel)",2009,"niebieski-metallic","Niemcy","Nie","automatyczna"
6572,177900,190,"Audi","A6","4/5",2698,23399,"olej napędowy (diesel)",2009,"szary-metallic","Niemcy","Nie","automatyczna"
6573,119900,180,"Audi","A6","4/5",2698,99998,"olej napędowy (diesel)",2007,"bialy","Niemcy","Nie","automatyczna"
6574,104900,233,"Audi","A6","4/5",2967,107159,"olej napędowy (diesel)",2007,"szary-metallic","Niemcy","Nie","automatyczna"
6575,109900,233,"Audi","A6","4/5",2967,76350,"olej napędowy (diesel)",2006,"czarny-metallic","Niemcy","Nie","automatyczna"
6576,94900,180,"Audi","A6","4/5",2698,132620,"olej napędowy (diesel)",2006,"szary-metallic","Niemcy","Nie","automatyczna"
6577,207900,170,"Audi","A5","4/5",1968,750,"olej napędowy (diesel)",2011,"srebrny-metallic","Niemcy","Nie","manualna"
6578,269900,240,"Audi","A5","4/5",2967,22561,"olej napędowy (diesel)",2010,"czarny-metallic","Niemcy","Nie","automatyczna"
6579,209900,211,"Audi","A5","2/3",1984,14337,"benzyna",2010,"czerwony-metallic","Niemcy","Nie","manualna"
6580,209900,170,"Audi","A5","2/3",1968,7809,"olej napędowy (diesel)",2010,"szary-metallic","Niemcy","Nie","manualna"
6581,184900,160,"Audi","A5","2/3",1798,9619,"benzyna",2010,"brazowy-metallic","Niemcy","Nie","manualna"
6582,164900,160,"Audi","A5","4/5",1798,7971,"benzyna",2010,"brazowy-metallic","Niemcy","Nie","manualna"
6583,164900,143,"Audi","A5","4/5",1968,7822,"olej napędowy (diesel)",2010,"brazowy-metallic","Niemcy","Nie","manualna"
6584,205000,240,"Audi","A5","2/3",2967,53720,"olej napędowy (diesel)",2008,"czarny-metallic","Niemcy","Nie","manualna"
6585,12000,75,"Peugeot","206","4/5",1360,134000,"benzyna",2003,"czarny","Niemcy","Nie","manualna"
6586,216900,170,"Audi","A4 Allroad","4/5",1968,70,"olej napędowy (diesel)",2011,"brazowy-metallic","Niemcy","Nie","manualna"
6587,209900,170,"Audi","A4 Allroad","4/5",1968,14517,"olej napędowy (diesel)",2010,"granatowy-metallic","Niemcy","Nie","manualna"
6588,259900,240,"Audi","A4","4/5",2967,4977,"olej napędowy (diesel)",2011,"granatowy","Niemcy","Nie","automatyczna"
6589,259900,240,"Audi","A4","4/5",2967,6545,"olej napędowy (diesel)",2010,"szary","Niemcy","Nie","automatyczna"
6590,249900,265,"Audi","A4","4/5",3197,11412,"benzyna",2010,"srebrny-metallic","Niemcy","Nie","automatyczna"
6591,235900,265,"Audi","A4","4/5",3197,11431,"benzyna",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6592,184900,143,"Audi","A4","4/5",1968,7096,"olej napędowy (diesel)",2010,"brazowy-metallic","Niemcy","Nie","automatyczna"
6593,184900,180,"Audi","A4","4/5",1984,17436,"benzyna",2010,"szary","Niemcy","Nie","manualna"
6594,179900,143,"Audi","A4","4/5",1968,13850,"olej napędowy (diesel)",2010,"czarny-metallic","Niemcy","Nie","manualna"
6595,165900,143,"Audi","A4","4/5",1968,15270,"olej napędowy (diesel)",2010,"czarny","Niemcy","Nie","automatyczna"
6596,162900,143,"Audi","A4","4/5",1968,10385,"olej napędowy (diesel)",2010,"brazowy-metallic","Niemcy","Tak","automatyczna"
6597,159900,143,"Audi","A4","4/5",1968,41659,"olej napędowy (diesel)",2010,"czarny","Niemcy","Nie","manualna"
6598,159900,120,"Audi","A4","4/5",1798,24079,"benzyna",2010,"szary","Niemcy","Nie","automatyczna"
6599,159900,136,"Audi","A4","4/5",1968,29348,"olej napędowy (diesel)",2010,"szary","Niemcy","Nie","manualna"
6600,157900,160,"Audi","A4","4/5",1798,9111,"benzyna",2010,"szary-metallic","Niemcy","Nie","manualna"
6601,154900,180,"Audi","A4","4/5",1984,18041,"benzyna",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6602,148900,136,"Audi","A4","4/5",1968,22626,"olej napędowy (diesel)",2010,"brazowy-metallic","Niemcy","Nie","manualna"
6603,147900,143,"Audi","A4","4/5",1968,19998,"olej napędowy (diesel)",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6604,147900,143,"Audi","A4","4/5",1968,19999,"olej napędowy (diesel)",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6605,19500,130,"Volkswagen","Golf","4/5",1896,214000,"olej napędowy (diesel)",2002,"srebrny-metallic","Niemcy","Nie","manualna"
6606,146900,136,"Audi","A4","4/5",1968,19999,"olej napędowy (diesel)",2010,"czarny-metallic","Niemcy","Nie","manualna"
6607,145900,143,"Audi","A4","4/5",1968,7029,"olej napędowy (diesel)",2010,"szary-metallic","Niemcy","Nie","manualna"
6608,144900,120,"Audi","A4","4/5",1968,18983,"olej napędowy (diesel)",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6609,142900,136,"Audi","A4","4/5",1968,12917,"olej napędowy (diesel)",2010,"szary","Niemcy","Nie","manualna"
6610,139900,120,"Audi","A4","4/5",1968,7814,"olej napędowy (diesel)",2010,"brazowy-metallic","Niemcy","Nie","manualna"
6611,139900,143,"Audi","A4","4/5",1968,26900,"olej napędowy (diesel)",2010,"czarny-metallic","Niemcy","Nie","manualna"
6612,139900,143,"Audi","A4","4/5",1968,9962,"olej napędowy (diesel)",2010,"czarny-metallic","Niemcy","Nie","manualna"
6613,137900,120,"Audi","A4","4/5",1968,9013,"olej napędowy (diesel)",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6614,137900,120,"Audi","A4","4/5",1798,8583,"benzyna",2010,"czarny-metallic","Niemcy","Nie","manualna"
6615,137900,120,"Audi","A4","4/5",1798,25027,"benzyna",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6616,134900,120,"Audi","A4","4/5",1798,18533,"benzyna",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6617,134900,120,"Audi","A4","4/5",1798,7801,"benzyna",2010,"czarny","Niemcy","Nie","manualna"
6618,133900,120,"Audi","A4","4/5",1798,538,"benzyna",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6619,133900,120,"Audi","A4","4/5",1798,19115,"benzyna",2010,"szary-metallic","Niemcy","Nie","manualna"
6620,129900,120,"Audi","A4","4/5",1968,19653,"olej napędowy (diesel)",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6621,129900,120,"Audi","A4","4/5",1798,11875,"benzyna",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6622,129900,120,"Audi","A4","4/5",1968,29999,"olej napędowy (diesel)",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6623,127900,120,"Audi","A4","4/5",1968,29256,"olej napędowy (diesel)",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6624,124900,120,"Audi","A4","4/5",1798,5515,"benzyna",2010,"brazowy-metallic","Niemcy","Nie","manualna"
6625,122900,120,"Audi","A4","4/5",1798,5690,"benzyna",2010,"szary","Niemcy","Nie","manualna"
6626,119900,120,"Audi","A4","4/5",1798,9455,"benzyna",2010,"szary-metallic","Niemcy","Nie","manualna"
6627,199900,210,"Audi","A4","4/5",1984,6547,"benzyna",2009,"czarny-metallic","Niemcy","Nie","automatyczna"
6628,182900,180,"Audi","A4","4/5",1984,5123,"benzyna",2009,"czerwony","Niemcy","Nie","manualna"
6629,147900,143,"Audi","A4","4/5",1968,34159,"olej napędowy (diesel)",2009,"czarny","Niemcy","Nie","manualna"
6630,133900,143,"Audi","A4","4/5",1968,87636,"olej napędowy (diesel)",2008,"bialy","Niemcy","Nie","manualna"
6631,119900,160,"Audi","A4","4/5",1798,72508,"benzyna",2008,"czarny","Niemcy","Nie","manualna"
6632,116900,143,"Audi","A4","4/5",1968,79999,"olej napędowy (diesel)",2008,"czarny-metallic","Niemcy","Nie","manualna"
6633,103900,140,"Audi","A4","4/5",1968,73400,"olej napędowy (diesel)",2007,"czarny","Niemcy","Nie","manualna"
6634,142900,200,"Audi","A3","2/3",1984,12233,"benzyna",2010,"czarny-metallic","Niemcy","Nie","manualna"
6635,139900,160,"Audi","A3","2/3",1798,5705,"benzyna",2010,"czarny-metallic","Niemcy","Nie","manualna"
6636,129900,125,"Audi","A3","4/5",1390,12143,"benzyna",2010,"czarny-metallic","Niemcy","Nie","manualna"
6637,129900,125,"Audi","A3","4/5",1390,8963,"benzyna",2010,"niebieski-metallic","Niemcy","Nie","manualna"
6638,124900,125,"Audi","A3","4/5",1390,5059,"benzyna",2010,"szary-metallic","Niemcy","Nie","manualna"
6639,120900,125,"Audi","A3","2/3",1390,8065,"benzyna",2010,"czarny-metallic","Niemcy","Nie","automatyczna"
6640,119900,104,"Audi","A3","2/3",1598,8035,"olej napędowy (diesel)",2010,"czarny-metallic","Niemcy","Nie","manualna"
6641,119900,170,"Audi","A3","2/3",1968,9998,"olej napędowy (diesel)",2010,"szary-metallic","Niemcy","Nie","manualna"
6642,117900,200,"Audi","A3","2/3",1984,7964,"benzyna",2010,"granatowy-metallic","Niemcy","Nie","manualna"
6643,115900,140,"Audi","A3","2/3",1968,9962,"olej napędowy (diesel)",2010,"szary-metallic","Niemcy","Nie","manualna"
6644,115900,125,"Audi","A3","2/3",1390,3219,"benzyna",2010,"szary-metallic","Niemcy","Nie","manualna"
6645,114900,200,"Audi","A3","2/3",1984,8133,"benzyna",2010,"srebrny-metallic","Niemcy","Nie","manualna"
6646,111900,140,"Audi","A3","2/3",1968,7421,"olej napędowy (diesel)",2010,"czarny","Niemcy","Nie","manualna"
6647,110900,125,"Audi","A3","4/5",1390,24250,"benzyna",2010,"czerwony-metallic","Niemcy","Nie","manualna"
6648,109900,140,"Audi","A3","2/3",1968,26004,"olej napędowy (diesel)",2010,"szary-metallic","Niemcy","Nie","manualna"
6649,106900,102,"Audi","A3","4/5",1595,3967,"benzyna",2010,"szary-metallic","Niemcy","Nie","manualna"
6650,104900,125,"Audi","A3","4/5",1390,6086,"benzyna",2010,"szary-metallic","Niemcy","Nie","manualna"
6651,104900,125,"Audi","A3","2/3",1390,6857,"benzyna",2010,"niebieski-metallic","Niemcy","Nie","manualna"
6652,97900,125,"Audi","A3","2/3",1390,26271,"benzyna",2010,"czarny-metallic","Niemcy","Nie","manualna"
6653,93900,125,"Audi","A3","2/3",1390,7188,"benzyna",2010,"niebieski-metallic","Niemcy","Nie","manualna"
6654,89900,115,"Audi","A3","2/3",1598,46500,"benzyna",2007,"czarny-metallic","Niemcy","Nie","manualna"
6655,122900,122,"Audi","A1","2/3",1390,9999,"benzyna",2010,"czerwony-metallic","Niemcy","Nie","automatyczna"
6656,111111,122,"Audi","A1","2/3",1390,9924,"benzyna",2010,"brazowy-metallic","Niemcy","Nie","automatyczna"
6657,109900,104,"Audi","A1","2/3",1598,16037,"olej napędowy (diesel)",2010,"czarny","Niemcy","Nie","manualna"
6658,35800,143,"Mercedes-Benz","C 180","2/3",1796,130000,"benzyna",2004,"srebrny-metallic","Polska","Nie","automatyczna"
6659,104900,104,"Audi","A1","2/3",1598,9980,"olej napędowy (diesel)",2010,"szary","Niemcy","Nie","manualna"
6660,99999,122,"Audi","A1","2/3",1390,2919,"benzyna",2010,"czarny-metallic","Niemcy","Nie","manualna"
6661,89900,122,"Audi","A1","2/3",1390,3134,"benzyna",2010,"czerwony","Niemcy","Nie","manualna"
6662,84900,85,"Audi","A1","2/3",1197,7790,"benzyna",2010,"czerwony","Niemcy","Nie","manualna"
6663,25999,150,"BMW","320","4/5",1995,210000,"olej napędowy (diesel)",2002,"fioletowy-metallic","Niemcy","Nie","manualna"
6664,48900,115,"Volkswagen","Sharan","4/5",1900,193000,"olej napędowy (diesel)",2007,"granatowy-metallic","Niemcy","Nie","manualna"
6665,14900,75,"Volkswagen","Polo","2/3",1422,162000,"olej napędowy (diesel)",2002,"srebrny-metallic","Niemcy","Nie","manualna"
6668,14500,54,"Volkswagen","Polo","2/3",1198,26000,"benzyna",2006,"srebrny-metallic","Francja","Nie","manualna"
6669,79900,200,"Audi","TT","2/3",1984,137575,"benzyna",2007,"bialy","Niemcy","Nie","manualna"
6670,25500,130,"Volkswagen","Passat","4/5",1900,247,"olej napędowy (diesel)",2004,"srebrny-metallic","Niemcy","Nie","automatyczna"
6671,49900,150,"Toyota","RAV-4","4/5",2000,126000,"benzyna",2006,"srebrny","Polska","Nie","manualna"
6672,21500,100,"Volkswagen","Golf","4/5",1896,200000,"olej napędowy (diesel)",2002,"srebrny-metallic","Niemcy","Nie","manualna"
6674,15000,80,"Fiat","Stilo","4/5",1900,97000,"olej napędowy (diesel)",2003,"szary-metallic","Niemcy","Nie","manualna"
6676,23900,115,"Ford","C-MAX","4/5",1798,179000,"olej napędowy (diesel)",2006,"szary-metallic","Niemcy","Nie","manualna"
6677,14230,70,"Fiat","Panda","4/5",1300,147305,"olej napędowy (diesel)",2005,"srebrny-metallic","Polska","Nie","manualna"
6678,42300,170,"Mercedes-Benz","CLK 270","2/3",2700,217000,"olej napędowy (diesel)",2002,"zielony-metallic","Niemcy","Nie","manualna"
6679,19900,120,"Renault","Scenic","4/5",1900,92000,"olej napędowy (diesel)",2004,"srebrny-metallic","Niemcy","Nie","manualna"
6683,116837,270,"Volkswagen","Golf","4/5",1984,1000,"benzyna",2011,"czerwony","Polska","Nie","automatyczna"
6684,10700,80,"Fiat","Punto","4/5",1910,152000,"olej napędowy (diesel)",2001,"zielony-metallic","Niemcy","Nie","manualna"
6685,16800,68,"Ford","Fiesta","4/5",1399,49000,"olej napędowy (diesel)",2004,"srebrny-metallic","Francja","Nie","manualna"
6686,56416.5,96,"Ford","Galaxy","4/5",1997,153512,"olej napędowy (diesel)",2008,"zloty-metallic","Niemcy","Nie","manualna"
6687,19900,77,"Fiat","Linea","4/5",1368,95000,"benzyna+LPG",2008,"niebieski-metallic","Polska","Nie","manualna"
6688,15800,120,"Renault","Scenic","4/5",1870,158000,"olej napędowy (diesel)",2003,"srebrny-metallic","Niemcy","Nie","manualna"
6689,304900,265,"Mercedes-Benz","CLS 350","4/5",2987,3000,"olej napędowy (diesel)",2011,"srebrny-metallic","Polska","Nie","automatyczna"
6691,32999,90,"Opel","Astra","2/3",1400,77000,"benzyna",2009,"czarny-metallic","Niemcy","Nie","manualna"
6692,115000,143,"Audi","A4","4/5",1968,17100,"olej napędowy (diesel)",2010,"szary-metallic","Polska","Nie","manualna"
6693,99000,306,"Mercedes-Benz","S 500","4/5",4966,80000,"benzyna",2002,"srebrny-metallic","Polska","Nie","automatyczna"
6694,22900,105,"Volkswagen","Golf","2/3",1896,153000,"olej napędowy (diesel)",2004,"grafitowy-metallic","Francja","Nie","manualna"
6695,15900,68,"Ford","Fusion","4/5",1399,180000,"olej napędowy (diesel)",2004,"granatowy-metallic","Polska","Nie","manualna"
6696,156000,170,"Mercedes-Benz","C 220","4/5",2148,33000,"olej napędowy (diesel)",2009,"srebrny-metallic","Polska","Nie","automatyczna"
6697,32900,140,"Skoda","Octavia","4/5",2000,140000,"olej napędowy (diesel)",2008,"srebrny-metallic","Polska","Nie","manualna"
6698,29600,140,"Skoda","Octavia","4/5",2000,182000,"olej napędowy (diesel)",2005,"srebrny-metallic","Polska","Nie","manualna"
6699,42900,136,"Toyota","Corolla Verso","4/5",2200,72000,"olej napędowy (diesel)",2008,"srebrny","Niemcy","Nie","manualna"
6700,25800,150,"Renault","Espace","4/5",2188,169000,"olej napędowy (diesel)",2004,"grafitowy-metallic","Niemcy","Nie","manualna"
6701,34600,105,"Volkswagen","Passat","4/5",1900,176000,"olej napędowy (diesel)",2006,"srebrny-metallic","Niemcy","Nie","manualna"
6702,50298,95,"Mercedes-Benz","A 160","4/5",1498,3620,"benzyna",2011,"czarny","Polska","Nie","manualna"
6703,122240,184,"Mercedes-Benz","C 200","4/5",1796,1636,"benzyna",2011,"bialy-metallic","Polska","Nie","automatyczna"
6704,90000,109,"Mercedes-Benz","A 180","4/5",1991,32300,"olej napędowy (diesel)",2010,"zielony-metallic","Polska","Nie","automatyczna"
6705,18800,115,"Ford","Mondeo","4/5",1998,158000,"olej napędowy (diesel)",2002,"czarny-metallic","Niemcy","Nie","manualna"
6706,22900,105,"Opel","Astra","4/5",1600,101000,"benzyna",2004,"srebrny","Niemcy","Nie","manualna"
6709,12900,136,"Peugeot","406","4/5",2000,193000,"benzyna+LPG",2003,"szary-metallic","Polska","Nie","manualna"
6710,63900,170,"Volkswagen","Touran","4/5",2000,67000,"olej napędowy (diesel)",2007,"czarny","Polska","Nie","manualna"
6711,144100,163,"Volkswagen","Amarok","4/5",1995,1,"olej napędowy (diesel)",2011,"srebrny-metallic","Polska","Nie","manualna"
6712,14900,150,"Volkswagen","Passat","4/5",2500,176000,"olej napędowy (diesel)",2001,"srebrny-metallic","Niemcy","Nie","manualna"
6713,45000,100,"Ford","Mondeo","4/5",1800,80000,"olej napędowy (diesel)",2008,"srebrny-metallic","Polska","Nie","manualna"
6714,30900,110,"Ford","Focus","4/5",1600,142000,"olej napędowy (diesel)",2008,"czarny-metallic","Niemcy","Nie","manualna"
6715,422480,306,"Mercedes-Benz","GL 450","4/5",3996,10,"olej napędowy (diesel)",2011,"czarny-metallic","Polska","Nie","automatyczna"
6716,22900,97,"Toyota","Corolla","4/5",1398,166000,"benzyna",2005,"srebrny","Polska","Nie","manualna"
6717,57000,140,"Opel","Insignia","4/5",1798,38000,"benzyna",2009,"srebrny-metallic","Polska","Nie","manualna"
6718,475000,406,"BMW","650","2/3",4400,5,"benzyna",2011,"czarny-metallic","Polska","Nie","automatyczna"
6719,44900,85,"Opel","Corsa","4/5",1229,6600,"benzyna",2011,"srebrny-metallic","Polska","Nie","manualna"
6721,25900,116,"Ford","C-MAX","4/5",1753,193100,"olej napędowy (diesel)",2006,"srebrny-metallic","Niemcy","Nie","manualna"
6722,98000,160,"Opel","Insignia","4/5",1956,2000,"olej napędowy (diesel)",2011,"srebrny-metallic","Polska","Nie","manualna"
6723,20500,130,"Audi","A4","4/5",1984,164000,"benzyna",2001,"niebieski-metallic","Niemcy","Nie","manualna"
6725,23200,197,"Mercedes-Benz","E 320","4/5",3222,253000,"olej napędowy (diesel)",2001,"czarny-metallic","Niemcy","Nie","automatyczna"
6726,9200,110,"Renault","Megane","4/5",1600,111000,"benzyna+LPG",2001,"granatowy","Polska","Nie","manualna"
6727,21999,131,"Volkswagen","Passat","4/5",1900,205000,"olej napędowy (diesel)",2003,"szary-metallic","Niemcy","Nie","manualna"
6728,38700,63,"Volkswagen","Transporter","4/5",1900,74500,"olej napędowy (diesel)",2005,"bialy","Polska","Nie","manualna"
6729,13900,110,"Volkswagen","Golf","4/5",1900,155000,"olej napędowy (diesel)",2001,"granatowy","Francja","Nie","manualna"
6730,21900,125,"Opel","Vectra","4/5",1796,109000,"benzyna",2002,"zielony-metallic","Niemcy","Nie","manualna"
6731,41999,77,"Volkswagen","Passat","4/5",1900,148000,"olej napędowy (diesel)",2007,"czarny","Niemcy","Nie","manualna"
6732,17200,54,"Peugeot","107","2/3",1398,60212,"olej napędowy (diesel)",2008,"zolty-metallic","Francja","Nie","manualna"
6733,23400,130,"Volkswagen","Passat","4/5",1896,208000,"olej napędowy (diesel)",2001,"granatowy-metallic","Niemcy","Nie","manualna"
6734,35900,122,"Mercedes-Benz","C 200","4/5",2148,113000,"olej napędowy (diesel)",2005,"granatowy-metallic","Niemcy","Nie","manualna"
6736,45500,102,"Volkswagen","Transporter","4/5",1896,196000,"olej napędowy (diesel)",2006,"zielony","Niemcy","Nie","manualna"
6737,18500,136,"BMW","320","4/5",1951,229000,"olej napędowy (diesel)",2001,"granatowy-metallic","Niemcy","Nie","manualna"
6738,37400,105,"Volkswagen","Passat","4/5",1896,211000,"olej napędowy (diesel)",2008,"granatowy","Niemcy","Nie","manualna"
6740,6000,60,"Fiat","Punto","4/5",1242,120000,"benzyna",2001,"szary","Polska","Nie","manualna"
6741,27800,107,"Renault","Scenic","4/5",1498,116000,"olej napędowy (diesel)",2007,"granatowy-metallic","Francja","Nie","manualna"
6742,10300,60,"Fiat","Punto","2/3",1242,174000,"benzyna+LPG",2003,"czerwony","Polska","Nie","manualna"
6743,29500,137,"Ford","Transit","2/3",2402,319000,"olej napędowy (diesel)",2004,"bialy","Polska","Nie","manualna"
6744,14900,100,"Opel","Zafira","4/5",1995,150000,"olej napędowy (diesel)",2001,"srebrny-metallic","Niemcy","Nie","manualna"
6745,86900,140,"Volkswagen","Passat","4/5",1968,15800,"olej napędowy (diesel)",2010,"grafitowy-metallic","Polska","Nie","manualna"
